구분(km),2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
서울,,,,,,,,,,
부산,3,3,3,1,2,3,2,2,3,5.7
대구,3,1,3,,,2,4,5,1,1.8
인천,3,3,4,2,2,2,1,1,1,3.9
광주,2,2,2,,,,,1,,
대전,2,2,3,3,1,1,3,2,3,4.8
울산,1,7,7,5,3,3,3,2,4,0.7
세종,1,1,2,2,3,3,3,3,4,3.5
경기,15,23,25,32,28,23,23,15,14,17.8
강원,35,59,57,63,57,52,49,46,55,43.6
충북,27,28,33,46,42,36,36,36,35,28.6
충남,27,40,44,46,42,41,50,48,50,45.9
전북,20,33,39,33,40,45,46,40,40,49.7
전남,56,66,71,83,84,76,79,82,71,113.5
경북,52,48,70,88,85,69,67,70,75,51.7
경남,37,38,49,52,44,49,43,53,51,60.7
제주,5,5,5,6,4,5,5,5,7,3.2
북부지방산림청,61,77,49,65,51,56,71,67,67,78.2
동부지방산림청,73,43,52,50,44,44,59,54,69,74.9
남부지방산림청,45,27,42,45,48,39,56,58,52,59.3
중부지방산림청,41,22,25,27,25,29,45,47,40,45.1
서부지방산림청,52,26,35,28,29,30,45,44,38,34.9
기타국유림,11,18,47,16,16,11,17,24,15,17.3
